analysis_scope,policy,phase,speed_profile,altitude_profile,bs_density_profile,sample_size,mean_demand_mbps,mean_throughput_mbps,mean_throughput_gap_mbps,mean_throughput_to_demand_pct,flights_meeting_mean_demand_pct,mean_demand_satisfied_sample_pct
overall,proactive,,,,,3348,25.0,10.103799283154121,14.896200716845879,40.415197132616484,0.0,0.0
overall,reactive,,,,,3348,25.0,10.688751493428914,14.311248506571086,42.755005973715654,0.0,0.0
by_phase,proactive,growth,,,,1116,25.0,10.320546594982078,14.679453405017922,41.28218637992831,0.0,0.0
by_phase,proactive,introduction,,,,1116,25.0,9.349220430107527,15.650779569892473,37.39688172043011,0.0,0.0
by_phase,proactive,maturity,,,,1116,25.0,10.64163082437276,14.35836917562724,42.56652329749104,0.0,0.0
by_phase,reactive,growth,,,,1116,25.0,10.929112903225805,14.070887096774195,43.71645161290322,0.0,0.0
by_phase,reactive,introduction,,,,1116,25.0,9.91310035842294,15.08689964157706,39.65240143369176,0.0,0.0
by_phase,reactive,maturity,,,,1116,25.0,11.224041218637993,13.775958781362007,44.89616487455197,0.0,0.0
by_condition,proactive,growth,high,high,dense,62,25.0,8.450645161290323,16.549354838709675,33.802580645161285,0.0,0.0
by_condition,proactive,growth,high,high,sparse,62,25.0,10.644193548387097,14.355806451612903,42.57677419354839,0.0,0.0
by_condition,proactive,growth,high,low,dense,62,25.0,10.323064516129032,14.676935483870968,41.292258064516126,0.0,0.0
by_condition,proactive,growth,high,low,sparse,62,25.0,11.235322580645162,13.764677419354838,44.94129032258065,0.0,0.0
by_condition,proactive,growth,high,mid,dense,62,25.0,9.45258064516129,15.547419354838711,37.810322580645156,0.0,0.0
by_condition,proactive,growth,high,mid,sparse,62,25.0,11.006129032258064,13.993870967741936,44.02451612903226,0.0,0.0
by_condition,proactive,growth,low,high,dense,62,25.0,8.783709677419356,16.216290322580644,35.134838709677425,0.0,0.0
by_condition,proactive,growth,low,high,sparse,62,25.0,10.870322580645162,14.129677419354838,43.48129032258065,0.0,0.0
by_condition,proactive,growth,low,low,dense,62,25.0,10.640645161290323,14.359354838709677,42.56258064516129,0.0,0.0
by_condition,proactive,growth,low,low,sparse,62,25.0,11.454354838709676,13.545645161290324,45.817419354838705,0.0,0.0
by_condition,proactive,growth,low,mid,dense,62,25.0,9.798225806451613,15.201774193548387,39.192903225806454,0.0,0.0
by_condition,proactive,growth,low,mid,sparse,62,25.0,11.222741935483871,13.777258064516129,44.89096774193549,0.0,0.0
by_condition,proactive,growth,medium,high,dense,62,25.0,8.611612903225806,16.388387096774196,34.446451612903225,0.0,0.0
by_condition,proactive,growth,medium,high,sparse,62,25.0,10.751612903225807,14.248387096774193,43.00645161290323,0.0,0.0
by_condition,proactive,growth,medium,low,dense,62,25.0,10.475645161290323,14.524354838709677,41.902580645161294,0.0,0.0
by_condition,proactive,growth,medium,low,sparse,62,25.0,11.33548387096774,13.66451612903226,45.34193548387096,0.0,0.0
by_condition,proactive,growth,medium,mid,dense,62,25.0,9.606935483870968,15.393064516129032,38.42774193548387,0.0,0.0
by_condition,proactive,growth,medium,mid,sparse,62,25.0,11.106612903225807,13.893387096774193,44.42645161290323,0.0,0.0
by_condition,proactive,introduction,high,high,dense,62,25.0,7.336935483870968,17.66306451612903,29.34774193548387,0.0,0.0
by_condition,proactive,introduction,high,high,sparse,62,25.0,9.751612903225807,15.248387096774193,39.00645161290323,0.0,0.0
by_condition,proactive,introduction,high,low,dense,62,25.0,9.245645161290323,15.754354838709677,36.98258064516129,0.0,0.0
by_condition,proactive,introduction,high,low,sparse,62,25.0,10.551612903225807,14.448387096774193,42.20645161290323,0.0,0.0
by_condition,proactive,introduction,high,mid,dense,62,25.0,8.21951612903226,16.780483870967743,32.87806451612904,0.0,0.0
by_condition,proactive,introduction,high,mid,sparse,62,25.0,10.128870967741936,14.871129032258064,40.51548387096774,0.0,0.0
by_condition,proactive,introduction,low,high,dense,62,25.0,7.683709677419355,17.31629032258065,30.73483870967742,0.0,0.0
by_condition,proactive,introduction,low,high,sparse,62,25.0,9.958870967741936,15.041129032258064,39.83548387096774,0.0,0.0
by_condition,proactive,introduction,low,low,dense,62,25.0,9.638548387096774,15.361451612903226,38.5541935483871,0.0,0.0
by_condition,proactive,introduction,low,low,sparse,62,25.0,10.695967741935483,14.304032258064517,42.78387096774193,0.0,0.0
by_condition,proactive,introduction,low,mid,dense,62,25.0,8.584838709677419,16.41516129032258,34.339354838709674,0.0,0.0
by_condition,proactive,introduction,low,mid,sparse,62,25.0,10.298064516129033,14.701935483870967,41.19225806451613,0.0,0.0
by_condition,proactive,introduction,medium,high,dense,62,25.0,7.567096774193549,17.43290322580645,30.268387096774195,0.0,0.0
by_condition,proactive,introduction,medium,high,sparse,62,25.0,9.865645161290322,15.134354838709678,39.46258064516129,0.0,0.0
by_condition,proactive,introduction,medium,low,dense,62,25.0,9.461935483870967,15.538064516129033,37.84774193548387,0.0,0.0
by_condition,proactive,introduction,medium,low,sparse,62,25.0,10.629516129032258,14.370483870967742,42.51806451612903,0.0,0.0
by_condition,proactive,introduction,medium,mid,dense,62,25.0,8.429354838709678,16.570645161290326,33.71741935483871,0.0,0.0
by_condition,proactive,introduction,medium,mid,sparse,62,25.0,10.238225806451613,14.761774193548387,40.95290322580645,0.0,0.0
by_condition,proactive,maturity,high,high,dense,62,25.0,8.606774193548388,16.393225806451614,34.42709677419355,0.0,0.0
by_condition,proactive,maturity,high,high,sparse,62,25.0,11.056451612903226,13.943548387096774,44.225806451612904,0.0,0.0
by_condition,proactive,maturity,high,low,dense,62,25.0,10.364516129032259,14.635483870967741,41.458064516129035,0.0,0.0
by_condition,proactive,maturity,high,low,sparse,62,25.0,11.908387096774195,13.091612903225805,47.63354838709678,0.0,0.0
by_condition,proactive,maturity,high,mid,dense,62,25.0,9.531129032258063,15.468870967741934,38.124516129032266,0.0,0.0
by_condition,proactive,maturity,high,mid,sparse,62,25.0,11.50725806451613,13.49274193548387,46.02903225806452,0.0,0.0
by_condition,proactive,maturity,low,high,dense,62,25.0,8.921129032258065,16.078870967741935,35.68451612903226,0.0,0.0
by_condition,proactive,maturity,low,high,sparse,62,25.0,11.29225806451613,13.70774193548387,45.16903225806452,0.0,0.0
by_condition,proactive,maturity,low,low,dense,62,25.0,10.70741935483871,14.29258064516129,42.82967741935484,0.0,0.0
by_condition,proactive,maturity,low,low,sparse,62,25.0,12.160806451612904,12.839193548387096,48.64322580645162,0.0,0.0
by_condition,proactive,maturity,low,mid,dense,62,25.0,9.849838709677421,15.150161290322579,39.399354838709684,0.0,0.0
by_condition,proactive,maturity,low,mid,sparse,62,25.0,11.777096774193547,13.222903225806453,47.10838709677419,0.0,0.0
by_condition,proactive,maturity,medium,high,dense,62,25.0,8.777258064516129,16.22274193548387,35.109032258064516,0.0,0.0
by_condition,proactive,maturity,medium,high,sparse,62,25.0,11.175,13.825,44.7,0.0,0.0
by_condition,proactive,maturity,medium,low,dense,62,25.0,10.533870967741937,14.466129032258063,42.13548387096775,0.0,0.0
by_condition,proactive,maturity,medium,low,sparse,62,25.0,12.050967741935484,12.949032258064516,48.203870967741935,0.0,0.0
by_condition,proactive,maturity,medium,mid,dense,62,25.0,9.695,15.305,38.78,0.0,0.0
by_condition,proactive,maturity,medium,mid,sparse,62,25.0,11.634193548387096,13.365806451612904,46.53677419354838,0.0,0.0
by_condition,reactive,growth,high,high,dense,62,25.0,9.400645161290322,15.599354838709678,37.60258064516129,0.0,0.0
by_condition,reactive,growth,high,high,sparse,62,25.0,11.222903225806453,13.777096774193547,44.89161290322581,0.0,0.0
by_condition,reactive,growth,high,low,dense,62,25.0,11.273548387096774,13.726451612903226,45.094193548387096,0.0,0.0
by_condition,reactive,growth,high,low,sparse,62,25.0,11.76032258064516,13.23967741935484,47.04129032258064,0.0,0.0
by_condition,reactive,growth,high,mid,dense,62,25.0,10.417741935483871,14.582258064516129,41.670967741935485,0.0,0.0
by_condition,reactive,growth,high,mid,sparse,62,25.0,11.539193548387097,13.460806451612903,46.15677419354839,0.0,0.0
by_condition,reactive,growth,low,high,dense,62,25.0,9.366935483870968,15.633064516129032,37.46774193548387,0.0,0.0
by_condition,reactive,growth,low,high,sparse,62,25.0,11.204193548387096,13.795806451612904,44.81677419354838,0.0,0.0
by_condition,reactive,growth,low,low,dense,62,25.0,11.238548387096774,13.761451612903226,44.954193548387096,0.0,0.0
by_condition,reactive,growth,low,low,sparse,62,25.0,11.756290322580645,13.243709677419355,47.02516129032258,0.0,0.0
by_condition,reactive,growth,low,mid,dense,62,25.0,10.386290322580646,14.613709677419354,41.54516129032258,0.0,0.0
by_condition,reactive,growth,low,mid,sparse,62,25.0,11.533387096774193,13.466612903225807,46.13354838709677,0.0,0.0
by_condition,reactive,growth,medium,high,dense,62,25.0,9.393064516129032,15.606935483870968,37.57225806451613,0.0,0.0
by_condition,reactive,growth,medium,high,sparse,62,25.0,11.222096774193549,13.777903225806451,44.888387096774196,0.0,0.0
by_condition,reactive,growth,medium,low,dense,62,25.0,11.280645161290321,13.719354838709679,45.122580645161285,0.0,0.0
by_condition,reactive,growth,medium,low,sparse,62,25.0,11.771290322580645,13.228709677419355,47.08516129032258,0.0,0.0
by_condition,reactive,growth,medium,mid,dense,62,25.0,10.413548387096775,14.586451612903225,41.6541935483871,0.0,0.0
by_condition,reactive,growth,medium,mid,sparse,62,25.0,11.543387096774195,13.456612903225805,46.17354838709678,0.0,0.0
by_condition,reactive,introduction,high,high,dense,62,25.0,8.296451612903226,16.703548387096774,33.185806451612905,0.0,0.0
by_condition,reactive,introduction,high,high,sparse,62,25.0,10.264032258064516,14.735967741935484,41.05612903225806,0.0,0.0
by_condition,reactive,introduction,high,low,dense,62,25.0,10.274193548387096,14.725806451612904,41.096774193548384,0.0,0.0
by_condition,reactive,introduction,high,low,sparse,62,25.0,10.95032258064516,14.04967741935484,43.80129032258064,0.0,0.0
by_condition,reactive,introduction,high,mid,dense,62,25.0,9.191935483870967,15.808064516129033,36.76774193548387,0.0,0.0
by_condition,reactive,introduction,high,mid,sparse,62,25.0,10.56241935483871,14.43758064516129,42.24967741935484,0.0,0.0
by_condition,reactive,introduction,low,high,dense,62,25.0,8.234677419354838,16.76532258064516,32.938709677419354,0.0,0.0
by_condition,reactive,introduction,low,high,sparse,62,25.0,10.235322580645162,14.764677419354838,40.94129032258065,0.0,0.0
by_condition,reactive,introduction,low,low,dense,62,25.0,10.21758064516129,14.78241935483871,40.87032258064516,0.0,0.0
by_condition,reactive,introduction,low,low,sparse,62,25.0,10.940967741935484,14.059032258064516,43.76387096774194,0.0,0.0
by_condition,reactive,introduction,low,mid,dense,62,25.0,9.116129032258065,15.883870967741935,36.46451612903226,0.0,0.0
by_condition,reactive,introduction,low,mid,sparse,62,25.0,10.564354838709678,14.435645161290322,42.25741935483871,0.0,0.0
by_condition,reactive,introduction,medium,high,dense,62,25.0,8.283548387096776,16.716451612903228,33.1341935483871,0.0,0.0
by_condition,reactive,introduction,medium,high,sparse,62,25.0,10.262419354838709,14.737580645161291,41.049677419354836,0.0,0.0
by_condition,reactive,introduction,medium,low,dense,62,25.0,10.298709677419355,14.701290322580645,41.19483870967742,0.0,0.0
by_condition,reactive,introduction,medium,low,sparse,62,25.0,10.966935483870968,14.033064516129034,43.86774193548387,0.0,0.0
by_condition,reactive,introduction,medium,mid,dense,62,25.0,9.186612903225807,15.813387096774193,36.74645161290323,0.0,0.0
by_condition,reactive,introduction,medium,mid,sparse,62,25.0,10.589193548387096,14.410806451612904,42.35677419354838,0.0,0.0
by_condition,reactive,maturity,high,high,dense,62,25.0,9.429354838709678,15.570645161290322,37.71741935483871,0.0,0.0
by_condition,reactive,maturity,high,high,sparse,62,25.0,11.651451612903225,13.348548387096775,46.6058064516129,0.0,0.0
by_condition,reactive,maturity,high,low,dense,62,25.0,11.198709677419355,13.801290322580645,44.79483870967742,0.0,0.0
by_condition,reactive,maturity,high,low,sparse,62,25.0,12.545967741935485,12.454032258064515,50.18387096774194,0.0,0.0
by_condition,reactive,maturity,high,mid,dense,62,25.0,10.338225806451613,14.661774193548387,41.35290322580645,0.0,0.0
by_condition,reactive,maturity,high,mid,sparse,62,25.0,12.124193548387098,12.875806451612902,48.49677419354839,0.0,0.0
by_condition,reactive,maturity,low,high,dense,62,25.0,9.428548387096775,15.571451612903227,37.7141935483871,0.0,0.0
by_condition,reactive,maturity,low,high,sparse,62,25.0,11.661290322580646,13.338709677419354,46.645161290322584,0.0,0.0
by_condition,reactive,maturity,low,low,dense,62,25.0,11.21016129032258,13.78983870967742,44.84064516129032,0.0,0.0
by_condition,reactive,maturity,low,low,sparse,62,25.0,12.563387096774193,12.436612903225807,50.25354838709677,0.0,0.0
by_condition,reactive,maturity,low,mid,dense,62,25.0,10.355967741935485,14.644032258064515,41.423870967741934,0.0,0.0
by_condition,reactive,maturity,low,mid,sparse,62,25.0,12.14241935483871,12.85758064516129,48.56967741935484,0.0,0.0
by_condition,reactive,maturity,medium,high,dense,62,25.0,9.44032258064516,15.55967741935484,37.76129032258064,0.0,0.0
by_condition,reactive,maturity,medium,high,sparse,62,25.0,11.659193548387098,13.340806451612902,46.63677419354839,0.0,0.0
by_condition,reactive,maturity,medium,low,dense,62,25.0,11.215483870967741,13.784516129032259,44.861935483870965,0.0,0.0
by_condition,reactive,maturity,medium,low,sparse,62,25.0,12.561774193548388,12.438225806451612,50.24709677419355,0.0,0.0
by_condition,reactive,maturity,medium,mid,dense,62,25.0,10.361935483870969,14.638064516129031,41.44774193548387,0.0,0.0
by_condition,reactive,maturity,medium,mid,sparse,62,25.0,12.144354838709678,12.855645161290322,48.57741935483871,0.0,0.0
